id	name	class
!!a	a	MagicKnight	No
reloading	Reloading	MagicKnight	No
sanctify	Sanctify	MagicKnight	No
shackle	Shackle	MagicKnight	No
sight	Sight	MagicKnight	No
silence	Silence	MagicKnight	No
slow	Slow	MagicKnight	No
spark	Spark	MagicKnight	No
stress	Stress	MagicKnight	No
vulnerable	Vulnerable	MagicKnight	No
weak	Weak	MagicKnight	No
wet	Wet	MagicKnight	No
curses	Curses	MagicKnight	No
discard	Discard	MagicKnight	No
discardselect	DiscardSelect	MagicKnight	No
dispelauras	Dispel Auras	MagicKnight	No
draw	Draw	MagicKnight	No
drawfromdeck	Draw From Deck	MagicKnight	No
drawfromgame	Draw From Game	MagicKnight	No
duplicate	Duplicate	MagicKnight	No
energyrecharge	Energy Recharge	MagicKnight	No
bloodpuddle	Blood Puddle	Monster	No
bloodpuddlea	Blood Puddle	Monster	A
bloodpuddleb	Blood Puddle	Monster	B
candy	Candy	Special	No
chaospuddle	Chaos Puddle	Monster	No
chaospuddlea	Chaos Puddle	Monster	A
chaospuddleb	Chaos Puddle	Monster	B
colorfulpuddle	Colorful Puddle	Monster	No
colorfulpuddlea	Colorful Puddle	Monster	A
colorfulpuddleb	Colorful Puddle	Monster	B
colorfulpuddlerare	Colorful Puddle	Monster	Rare
darkpuddle	Dark Puddle	Monster	No
darkpuddlea	Dark Puddle	Monster	A
darkpuddleb	Dark Puddle	Monster	B
deathgrip	Death Grip	Monster	No
deathgripa	Death Grip	Monster	A
deathgripb	Death Grip	Monster	B
electricpuddle	Electric Puddle	Monster	No
electricpuddlea	Electric Puddle	Monster	A
electricpuddleb	Electric Puddle	Monster	B
holypuddle	Holy Puddle	Monster	No
holypuddlea	Holy Puddle	Monster	A
holypuddleb	Holy Puddle	Monster	B
icypuddle	Icy Puddle	Monster	No
icypuddlea	Icy Puddle	Monster	A
icypuddleb	Icy Puddle	Monster	B
lavapuddle	Lava Puddle	Monster	No
lavapuddlea	Lava Puddle	Monster	A
lavapuddleb	Lava Puddle	Monster	B
lonelyblob	Lonely Blob	Monster	No
lonelybloba	Lonely Blob	Monster	A
lonelyblobb	Lonely Blob	Monster	B
lonelyblobrare	Lonely Blob	Monster	Rare
metalpuddle	Metal Puddle	Monster	No
metalpuddlea	Metal Puddle	Monster	A
metalpuddleb	Metal Puddle	Monster	B
spookynight	Spooky Night	Monster	No
spookynighta	Spooky Night	Monster	A
spookynightb	Spooky Night	Monster	B
sugarrush	Sugar Rush	Monster	No
sugarrusha	Sugar Rush	Monster	A
sugarrushb	Sugar Rush	Monster	B
toxicpuddle	Toxic Puddle	Monster	No
toxicpuddlea	Toxic Puddle	Monster	A
toxicpuddleb	Toxic Puddle	Monster	B
treat	Treat	Special	No
trick	Trick	Special	No
trickortreat	Trick or Treat	Monster	No
trickortreata	Trick or Treat	Monster	A
trickortreatb	Trick or Treat	Monster	B
waterpuddle	Water Puddle	Monster	No
waterpuddlea	Water Puddle	Monster	A
waterpuddleb	Water Puddle	Monster	B
healcurses	Heal Curses	MagicKnight	No
absorption	Absorption	Healer	No
absorptiona	Absorption	Healer	A
absorptionb	Absorption	Healer	B
absorptionrare	Absorption	Healer	Rare
anthemofhope	Anthem of Hope	Healer	No
anthemofhopea	Anthem of Hope	Healer	A
anthemofhopeb	Anthem of Hope	Healer	B
anthemofhoperare	Anthem of Hope	Healer	Rare
badaugury	Bad Augury	Healer	No
badaugurya	Bad Augury	Healer	A
badauguryb	Bad Augury	Healer	B
badauguryrare	Bad Augury	Healer	Rare
baptism	Baptism	Healer	No
baptisma	Baptism	Healer	A
baptismb	Baptism	Healer	B
baptismrare	Baptism	Healer	Rare
barrier	Barrier	Healer	No
barriera	Barrier	Healer	A
barrierb	Barrier	Healer	B
barrierrare	Barrier	Healer	Rare
benediction	Benediction	Healer	No
benedictiona	Benediction	Healer	A
benedictionb	Benediction	Healer	B
benedictionrare	Benediction	Healer	Rare
bindingheal	Binding Heal	Healer	No
bindingheala	Binding Heal	Healer	A
bindinghealb	Binding Heal	Healer	B
bindinghealrare	Binding Heal	Healer	Rare
blackhole	Black Hole	Healer	No
blackholea	Black Hole	Healer	A
blackholeb	Black Hole	Healer	B
blackholerare	Black Hole	Healer	Rare
blackkarma	Black Karma	Healer	No
blackkarmaa	Black Karma	Healer	A
blackkarmab	Black Karma	Healer	B
blackkarmarare	Black Karma	Healer	Rare
bulkheal	Bulk Heal	Healer	No
bulkheala	Bulk Heal	Healer	A
bulkhealb	Bulk Heal	Healer	B
bulkhealrare	Bulk Heal	Healer	Rare
celestialbrillance	Celestial Brilliance	Healer	No
celestialbrillancea	Celestial Brilliance	Healer	A
celestialbrillanceb	Celestial Brilliance	Healer	B
celestialbrillancem	Celestial Brilliance	Monster	No
celestialbrillancema	Celestial Brilliance	Monster	A
celestialbrillancemb	Celestial Brilliance	Monster	B
celestialbrillancerare	Celestial Brilliance	Healer	Rare
chainheal	Chain Heal	Healer	No
chainheala	Chain Heal	Healer	A
chainhealb	Chain Heal	Healer	B
chainhealrare	Chain Heal	Healer	Rare
circleofhealing	Circle of Healing	Healer	No
circleofhealinga	Circle of Healing	Healer	A
circleofhealingb	Circle of Healing	Healer	B
circleofhealingrare	Circle of Healing	Healer	Rare
clairvoyance	Clairvoyance	Healer	No
clairvoyancea	Clairvoyance	Healer	A
clairvoyanceb	Clairvoyance	Healer	B
clairvoyancerare	Clairvoyance	Healer	Rare
clarity	Clarity	Healer	No
claritya	Clarity	Healer	A
clarityb	Clarity	Healer	B
clarityrare	Clarity	Healer	Rare
condemnation	Condemnation	Healer	No
condemnationa	Condemnation	Healer	A
condemnationb	Condemnation	Healer	B
condemnationrare	Condemnation	Healer	Rare
crescentlight	Crescent Light	Healer	No
crescentlighta	Crescent Light	Healer	A
crescentlightb	Crescent Light	Healer	B
crescentlightrare	Crescent Light	Healer	Rare
curativetherapy	Curative Therapy	Healer	No
curativetherapya	Curative Therapy	Healer	A
curativetherapyb	Curative Therapy	Healer	B
curativetherapyrare	Curative Therapy	Healer	Rare
darkoutbreak	Dark Outbreak	Healer	No
darkoutbreaka	Dark Outbreak	Healer	A
darkoutbreakb	Dark Outbreak	Healer	B
darkoutbreakrare	Dark Outbreak	Healer	Rare
dawnlight	Dawnlight	Healer	No
dawnlighta	Dawnlight	Healer	A
dawnlightb	Dawnlight	Healer	B
dawnlightrare	Dawnlight	Healer	Rare
deathsreach	Death's Reach	Healer	No
deathsreacha	Death's Reach	Healer	A
deathsreachb	Death's Reach	Healer	B
deathsreachrare	Death's Reach	Healer	Rare
dejavu	Deja Vu	Healer	No
dejavua	Deja Vu	Healer	A
dejavub	Deja Vu	Healer	B
dejavurare	Deja Vu	Healer	Rare
delayresponse	Delay Response	Healer	No
delayresponsea	Delay Response	Healer	A
delayresponseb	Delay Response	Healer	B
delayresponserare	Delay Response	Healer	Rare
demonictutor	Demonic Tutor	Healer	No
demonictutora	Demonic Tutor	Healer	A
demonictutorb	Demonic Tutor	Healer	B
demonictutorrare	Demonic Tutor	Healer	Rare
desperateplayer	Desperate Prayer	Healer	No
desperateplayera	Desperate Prayer	Healer	A
desperateplayerb	Desperate Prayer	Healer	B
desperateplayerrare	Desperate Prayer	Healer	Rare
detoxify	Detoxify	Healer	No
detoxifya	Detoxify	Healer	A
detoxifyb	Detoxify	Healer	B
detoxifyrare	Detoxify	Healer	Rare
dilute	Dilute	Healer	No
dilutea	Dilute	Healer	A
diluteb	Dilute	Healer	B
diluterare	Dilute	Healer	Rare
dispelmagic	Dispel Magic	Healer	No
dispelmagica	Dispel Magic	Healer	A
dispelmagicb	Dispel Magic	Healer	B
dispelmagicrare	Dispel Magic	Healer	Rare
divineguidance	Divine Guidance	Healer	No
divineguidancea	Divine Guidance	Healer	A
divineguidanceb	Divine Guidance	Healer	B
divineguidancerare	Divine Guidance	Healer	Rare
divineinsight	Divine Insight	Healer	No
divineinsighta	Divine Insight	Healer	A
divineinsightb	Divine Insight	Healer	B
divineinsightrare	Divine Insight	Healer	Rare
divineire	Divine Ire	Healer	No
divineirea	Divine Ire	Healer	A
divineireb	Divine Ire	Healer	B
divineirerare	Divine Ire	Healer	Rare
divinepower	Divine Power	Healer	No
divinepowera	Divine Power	Healer	A
divinepowerb	Divine Power	Healer	B
divinepowerrare	Divine Power	Healer	Rare
enervate	Enervate	Healer	No
enervatea	Enervate	Healer	A
enervateb	Enervate	Healer	B
enervaterare	Enervate	Healer	Rare
entomb	Entomb	Healer	No
entomba	Entomb	Healer	A
entombb	Entomb	Healer	B
entombrare	Entomb	Healer	Rare
expectedprophecy	Expected Prophecy	Healer	No
expectedprophecya	Expected Prophecy	Healer	A
expectedprophecyb	Expected Prophecy	Healer	B
expectedprophecyrare	Expected Prophecy	Healer	Rare
fade	Fade	Healer	No
fadea	Fade	Healer	A
fadeb	Fade	Healer	B
faderare	Fade	Healer	Rare
fanaticism	Fanaticism	Healer	No
fanaticisma	Fanaticism	Healer	A
fanaticismb	Fanaticism	Healer	B
fanaticismrare	Fanaticism	Healer	Rare
flash	Flash	Healer	No
flasha	Flash	Healer	A
flashb	Flash	Healer	B
flashheal	Flash Heal	Healer	No
flashheala	Flash Heal	Healer	A
flashhealb	Flash Heal	Healer	B
flashhealrare	Flash Heal	Healer	Rare
flashrare	Flash	Healer	Rare
foresight	Foresight	Healer	No
foresighta	Foresight	Healer	A
foresightb	Foresight	Healer	B
foresightrare	Foresight	Healer	Rare
fortunetelling	Fortune Telling	Healer	No
fortunetellinga	Fortune Telling	Healer	A
fortunetellingb	Fortune Telling	Healer	B
fortunetellingrare	Fortune Telling	Healer	Rare
greaterheal	Greater Heal	Healer	No
greaterheala	Greater Heal	Healer	A
greaterhealb	Greater Heal	Healer	B
greaterhealrare	Greater Heal	Healer	Rare
guardianangel	Guardian Angel	Healer	No
guardianangela	Guardian Angel	Healer	A
guardianangelb	Guardian Angel	Healer	B
guardianangelrare	Guardian Angel	Healer	Rare
hallucination	Hallucination	Healer	No
hallucinationa	Hallucination	Healer	A
hallucinationb	Hallucination	Healer	B
hallucinationrare	Hallucination	Healer	Rare
heal	Heal	Healer	No
heala	Heal	Healer	A
healb	Heal	Healer	B
healingrain	Healing Rain	Healer	No
healingraina	Healing Rain	Healer	A
healingrainb	Healing Rain	Healer	B
healingrainrare	Healing Rain	Healer	Rare
healrare	Heal	Healer	Rare
heavenlyblessing	Heavenly Blessing	Healer	No
heavenlyblessinga	Heavenly Blessing	Healer	A
heavenlyblessingb	Heavenly Blessing	Healer	B
heavenlyblessingm	Heavenly Blessing	Monster	No
heavenlyblessingma	Heavenly Blessing	Monster	A
heavenlyblessingmb	Heavenly Blessing	Monster	B
heavenlyblessingrare	Heavenly Blessing	Healer	Rare
holyaegis	Holy Aegis	Healer	No
holyaegisa	Holy Aegis	Healer	A
holyaegisb	Holy Aegis	Healer	B
holyaegisrare	Holy Aegis	Healer	Rare
holyblast	Holy Blast	Healer	No
holyblasta	Holy Blast	Healer	A
holyblastb	Holy Blast	Healer	B
holyblastrare	Holy Blast	Healer	Rare
holyfire	Holy Fire	Healer	No
holyfirea	Holy Fire	Healer	A
holyfireb	Holy Fire	Healer	B
holyfirerare	Holy Fire	Healer	Rare
holynova	Holy Nova	Healer	No
holynovaa	Holy Nova	Healer	A
holynovab	Holy Nova	Healer	B
holynovarare	Holy Nova	Healer	Rare
holyripple	Holy Ripple	Healer	No
holyripplea	Holy Ripple	Healer	A
holyrippleb	Holy Ripple	Healer	B
holyripplerare	Holy Ripple	Healer	Rare
holysmite	Holy Smite	Healer	No
holysmitea	Holy Smite	Healer	A
holysmiteb	Holy Smite	Healer	B
holysmiterare	Holy Smite	Healer	Rare
holystorm	Holy Storm	Healer	No
holystorma	Holy Storm	Healer	A
holystormb	Holy Storm	Healer	B
holystormrare	Holy Storm	Healer	Rare
infusecourage	Infuse Courage	Healer	No
infusecouragea	Infuse Courage	Healer	A
infusecourageb	Infuse Courage	Healer	B
infusecouragerare	Infuse Courage	Healer	Rare
innerfire	Inner Fire	Healer	No
innerfirea	Inner Fire	Healer	A
innerfireb	Inner Fire	Healer	B
innerfirerare	Inner Fire	Healer	Rare
innervate	Innervate	Healer	No
innervatea	Innervate	Healer	A
innervateb	Innervate	Healer	B
innervaterare	Innervate	Healer	Rare
lastdawn	Last Dawn	Monster	No
lastdawna	Last Dawn	Monster	A
lastdawnb	Last Dawn	Monster	B
massdispel	Mass Dispel	Healer	No
massdispela	Mass Dispel	Healer	A
massdispelb	Mass Dispel	Healer	B
massdispelrare	Mass Dispel	Healer	Rare
meditate	Meditate	Healer	No
meditatea	Meditate	Healer	A
meditateb	Meditate	Healer	B
meditaterare	Meditate	Healer	Rare
mentalshake	Mental Shake	Healer	No
mentalshakea	Mental Shake	Healer	A
mentalshakeb	Mental Shake	Healer	B
mentalshakerare	Mental Shake	Healer	Rare
mesmericmirage	Mesmeric Mirage	Healer	No
mesmericmiragea	Mesmeric Mirage	Healer	A
mesmericmirageb	Mesmeric Mirage	Healer	B
mesmericmiragerare	Mesmeric Mirage	Healer	Rare
mindblast	Mind Blast	Healer	No
mindblasta	Mind Blast	Healer	A
mindblastb	Mind Blast	Healer	B
mindblastrare	Mind Blast	Healer	Rare
mindtwist	Mind Twist	Healer	No
mindtwista	Mind Twist	Healer	A
mindtwistb	Mind Twist	Healer	B
mindtwistrare	Mind Twist	Healer	Rare
mindvisions	Mind Visions	Healer	No
mindvisionsa	Mind Visions	Healer	A
mindvisionsb	Mind Visions	Healer	B
mindvisionsrare	Mind Visions	Healer	Rare
omenofperil	Omen of Peril	Healer	No
omenofperila	Omen of Peril	Healer	A
omenofperilb	Omen of Peril	Healer	B
omenofperilrare	Omen of Peril	Healer	Rare
omniscience	Omniscience	Healer	No
omnisciencea	Omniscience	Healer	A
omniscienceb	Omniscience	Healer	B
omnisciencerare	Omniscience	Healer	Rare
painsupresion	Pain Suppression	Healer	No
painsupresiona	Pain Suppression	Healer	A
painsupresionb	Pain Suppression	Healer	B
painsupresionrare	Pain Suppression	Healer	Rare
panacea	Panacea	Healer	No
panaceaa	Panacea	Healer	A
panaceab	Panacea	Healer	B
panacearare	Panacea	Healer	Rare
pandemonium	Pandemonium	Healer	No
pandemoniuma	Pandemonium	Healer	A
pandemoniumb	Pandemonium	Healer	B
pandemoniumrare	Pandemonium	Healer	Rare
penance	Penance	Healer	No
penancea	Penance	Healer	A
penanceb	Penance	Healer	B
penancerare	Penance	Healer	Rare
perseverance	Perseverance	Healer	No
perseverancea	Perseverance	Healer	A
perseveranceb	Perseverance	Healer	B
perseverancerare	Perseverance	Healer	Rare
prayerofhealing	Prayer of Healing	Healer	No
prayerofhealinga	Prayer of Healing	Healer	A
prayerofhealingb	Prayer of Healing	Healer	B
prayerofhealingrare	Prayer of Healing	Healer	Rare
prayerofprotection	Prayer of Protection	Healer	No
prayerofprotectiona	Prayer of Protection	Healer	A
prayerofprotectionb	Prayer of Protection	Healer	B
prayerofprotectionrare	Prayer of Protection	Healer	Rare
prescription	Prescription	Healer	No
prescriptiona	Prescription	Healer	A
prescriptionb	Prescription	Healer	B
prescriptionrare	Prescription	Healer	Rare
profane	Profane	Healer	No
profanea	Profane	Healer	A
profaneb	Profane	Healer	B
profanerare	Profane	Healer	Rare
protectfromevil	Protect from Evil	Healer	No
protectfromevila	Protect from Evil	Healer	A
protectfromevilb	Protect from Evil	Healer	B
protectfromevilrare	Protect from Evil	Healer	Rare
pulsingheal	Pulsing Heal	Healer	No
pulsingheala	Pulsing Heal	Healer	A
pulsinghealb	Pulsing Heal	Healer	B
pulsinghealrare	Pulsing Heal	Healer	Rare
purgingray	Purging Ray	Healer	No
purgingraya	Purging Ray	Healer	A
purgingrayb	Purging Ray	Healer	B
purgingrayrare	Purging Ray	Healer	Rare
radiantassault	Radiant Assault	Healer	No
radiantassaulta	Radiant Assault	Healer	A
radiantassaultb	Radiant Assault	Healer	B
radiantassaultrare	Radiant Assault	Healer	Rare
rayofhope	Ray of Hope	Healer	No
rayofhopea	Ray of Hope	Healer	A
rayofhopeb	Ray of Hope	Healer	B
rayofhoperare	Ray of Hope	Healer	Rare
redemption	Redemption	Healer	No
redemptiona	Redemption	Healer	A
redemptionb	Redemption	Healer	B
redemptionrare	Redemption	Healer	Rare
renew	Renew	Healer	No
renewa	Renew	Healer	A
renewb	Renew	Healer	B
renewrare	Renew	Healer	Rare
ruinbolt	Ruin Bolt	Healer	No
ruinbolta	Ruin Bolt	Healer	A
ruinboltb	Ruin Bolt	Healer	B
ruinboltrare	Ruin Bolt	Healer	Rare
sacredbolt	Sacred Bolt	Healer	No
sacredbolta	Sacred Bolt	Healer	A
sacredboltb	Sacred Bolt	Healer	B
sacredboltrare	Sacred Bolt	Healer	Rare
sacredceremony	Sacred Ceremony	Healer	No
sacredceremonya	Sacred Ceremony	Healer	A
sacredceremonyb	Sacred Ceremony	Healer	B
sacredceremonyrare	Sacred Ceremony	Healer	Rare
sanctification	Sanctification	Healer	No
sanctificationa	Sanctification	Healer	A
sanctificationb	Sanctification	Healer	B
sanctificationrare	Sanctification	Healer	Rare
sanctuary	Sanctuary	Healer	No
sanctuarya	Sanctuary	Healer	A
sanctuaryb	Sanctuary	Healer	B
sanctuaryrare	Sanctuary	Healer	Rare
saveitforlater	Save It For Later	Healer	No
saveitforlatera	Save It For Later	Healer	A
saveitforlaterb	Save It For Later	Healer	B
saveitforlaterrare	Save It For Later	Healer	Rare
scry	Scry	Healer	No
scrya	Scry	Healer	A
scryb	Scry	Healer	B
scryrare	Scry	Healer	Rare
shadowmend	Shadow Mend	Healer	No
shadowmenda	Shadow Mend	Healer	A
shadowmendb	Shadow Mend	Healer	B
shadowmendrare	Shadow Mend	Healer	Rare
shieldofwarding	Shield of Warding	Healer	No
shieldofwardinga	Shield of Warding	Healer	A
shieldofwardingb	Shield of Warding	Healer	B
shieldofwardingrare	Shield of Warding	Healer	Rare
shiningforce	Shining Force	Healer	No
shiningforcea	Shining Force	Healer	A
shiningforceb	Shining Force	Healer	B
shiningforcerare	Shining Force	Healer	Rare
sparkoflife	Spark of Life	Healer	No
sparkoflifea	Spark of Life	Healer	A
sparkoflifeb	Spark of Life	Healer	B
sparkofliferare	Spark of Life	Healer	Rare
spectralmissiles	Spectral Missiles	Healer	No
spectralmissilesa	Spectral Missiles	Healer	A
spectralmissilesb	Spectral Missiles	Healer	B
spectralmissilesrare	Spectral Missiles	Healer	Rare
sunbeam	Sunbeam	Healer	No
sunbeama	Sunbeam	Healer	A
sunbeamb	Sunbeam	Healer	B
sunbeamrare	Sunbeam	Healer	Rare
tabularasa	Tabula Rasa	Healer	No
tabularasaa	Tabula Rasa	Healer	A
tabularasab	Tabula Rasa	Healer	B
tabularasarare	Tabula Rasa	Healer	Rare
temporalchains	Temporal Chains	Healer	No
temporalchainsa	Temporal Chains	Healer	A
temporalchainsb	Temporal Chains	Healer	B
temporalchainsrare	Temporal Chains	Healer	Rare
terrorize	Terrorize	Healer	No
terrorizea	Terrorize	Healer	A
terrorizeb	Terrorize	Healer	B
terrorizerare	Terrorize	Healer	Rare
twilightswamp	Twilight Swamp	Healer	No
twilightswampa	Twilight Swamp	Healer	A
twilightswampb	Twilight Swamp	Healer	B
twilightswamprare	Twilight Swamp	Healer	Rare
unholystorm	Unholy Storm	Healer	No
unholystorma	Unholy Storm	Healer	A
unholystormb	Unholy Storm	Healer	B
unholystormrare	Unholy Storm	Healer	Rare
vampirictouch	Vampiric Touch	Healer	No
vampirictoucha	Vampiric Touch	Healer	A
vampirictouchb	Vampiric Touch	Healer	B
vampirictouchrare	Vampiric Touch	Healer	Rare
vilegas	Vile Gas	Healer	No
vilegasa	Vile Gas	Healer	A
vilegasb	Vile Gas	Healer	B
vilegasrare	Vile Gas	Healer	Rare
vilelance	Vile Lance	Healer	No
vilelancea	Vile Lance	Healer	A
vilelanceb	Vile Lance	Healer	B
vilelancerare	Vile Lance	Healer	Rare
vitalize	Vitalize	Healer	No
vitalizea	Vitalize	Healer	A
vitalizeb	Vitalize	Healer	B
vitalizerare	Vitalize	Healer	Rare
yinyangbolt	Yin Yang Bolt	Healer	No
yinyangbolta	Yin Yang Bolt	Healer	A
yinyangboltb	Yin Yang Bolt	Healer	B
yinyangboltrare	Yin Yang Bolt	Healer	Rare
herodamage	HeroDamage	MagicKnight	No
arenachampion	Arena Champion	Boon	No
arenachampiona	Arena Champion	Boon	A
arenachampionb	Arena Champion	Boon	B
basthetsgrace	Basthet's Grace	Boon	No
basthetsgracea	Basthet's Grace	Boon	A
basthetsgraceb	Basthet's Grace	Boon	B
brokenbone	Broken Bone	Injury	No
brokenbonea	Broken Bone	Injury	A
brokenboneb	Broken Bone	Injury	B
catharsis	Catharsis	Boon	No
catharsisa	Catharsis	Boon	A
catharsisb	Catharsis	Boon	B
childofthestorm	Child of the Storm	Boon	No
childofthestorma	Child of the Storm	Boon	A
childofthestormb	Child of the Storm	Boon	B
coldfeet	Cold Feet	Injury	No
coldfeeta	Cold Feet	Injury	A
coldfeetb	Cold Feet	Injury	B
consecrated	Consecrated	Injury	No
consecrateda	Consecrated	Injury	A
consecratedb	Consecrated	Injury	B
custodian	Custodian	Boon	No
custodiana	Custodian	Boon	A
custodianb	Custodian	Boon	B
darkmiasma	Dark Miasma	Boon	No
darkmiasmaa	Dark Miasma	Boon	A
darkmiasmab	Dark Miasma	Boon	B
deathsdoor	Death's Door	Injury	No
deathsdoora	Death's Door	Injury	A
deathsdoorb	Death's Door	Injury	B
dislocatedjaw	Dislocated Jaw	Injury	No
dislocatedjawa	Dislocated Jaw	Injury	A
dislocatedjawb	Dislocated Jaw	Injury	B
electroshock	Electroshock	Injury	No
electroshocka	Electroshock	Injury	A
electroshockb	Electroshock	Injury	B
enlightened	Enlightened	Boon	No
enlighteneda	Enlightened	Boon	A
enlightenedb	Enlightened	Boon	B
friendlytadpole	Friendly Tadpole	Boon	No
frightened	Frightened	Injury	No
frighteneda	Frightened	Injury	A
frightenedb	Frightened	Injury	B
goldcard	Gold	Boon	No
goldyshardscard	Gold and Shards	Boon	No
goldyshardscardb	Gold and Shards	Boon	No
heatsurge	Heat Surge	Boon	No
heatsurgea	Heat Surge	Boon	A
heatsurgeb	Heat Surge	Boon	B
heronscourage	Herons's Courage	Boon	No
heronscouragea	Herons's Courage	Boon	A
heronscourageb	Herons's Courage	Boon	B
honorable	Honorable	Boon	No
honorablea	Honorable	Boon	A
honorableb	Honorable	Boon	B
itchyburn	Itchy Burn	Injury	No
itchyburna	Itchy Burn	Injury	A
itchyburnb	Itchy Burn	Injury	B
lowselfesteem	Low Self-Esteem	Injury	No
lowselfesteema	Low Self-Esteem	Injury	A
lowselfesteemb	Low Self-Esteem	Injury	B
meltedplating	Melted Plating	Injury	No
meltedplatinga	Melted Plating	Injury	A
meltedplatingb	Melted Plating	Injury	B
merciful	Merciful	Boon	No
mercifula	Merciful	Boon	A
mercifulb	Merciful	Boon	B
merciless	Merciless	Boon	No
mercilessa	Merciless	Boon	A
mercilessb	Merciless	Boon	B
openwound	Open Wound	Injury	No
openwounda	Open Wound	Injury	A
openwoundb	Open Wound	Injury	B
owlblessing	Owl Blessing	Boon	No
owlblessinga	Owl Blessing	Boon	A
owlblessingb	Owl Blessing	Boon	B
panicscream	Panic Scream	Injury	No
panicscreama	Panic Scream	Injury	A
panicscreamb	Panic Scream	Injury	B
poisoned	Poisoned	Injury	No
poisoneda	Poisoned	Injury	A
poisonedb	Poisoned	Injury	B
severeburn	Severe Burn	Injury	No
severeburna	Severe Burn	Injury	A
severeburnb	Severe Burn	Injury	B
shardscard	Shards	Boon	No
success	Success	Boon	No
takecover	Take Cover	Boon	No
takecovera	Take Cover	Boon	A
takecoverb	Take Cover	Boon	B
trustwhorty	Trustworthy	Boon	No
trustwhortya	Trustworthy	Boon	A
trustwhortyb	Trustworthy	Boon	B
untrustwhorty	Untrustworthy	Injury	No
untrustwhortya	Untrustworthy	Injury	A
untrustwhortyb	Untrustworthy	Injury	B
voidmemory	Void Memory	Injury	No
voidmemorya	Void Memory	Injury	A
voidmemoryb	Void Memory	Injury	B
wellfed	Well Fed	Boon	No
wellfeda	Well Fed	Boon	A
wellfedb	Well Fed	Boon	B
acolytetunic	Acolyte Tunic	Item	No
acolytetunicrare	Acolyte Tunic	Item	Rare
advancedhandbook	Advanced Handbook	Item	No
advancedhandbookrare	Advanced Handbook	Item	Rare
agateamulet	Agate Amulet	Item	No
agateamuletrare	Agate Amulet	Item	Rare
allseeingamulet	All-seeing Amulet	Item	No
allseeingamuletrare	All-seeing Amulet	Item	Rare
amberamulet	Amber Amulet	Item	No
amberamuletrare	Amber Amulet	Item	Rare
amethystring	Amethyst Ring	Item	No
amethystringrare	Amethyst Ring	Item	Rare
amuletofprotection	Amulet of Protection	Item	No
amuletofprotectionrare	Amulet of Protection	Item	Rare
amuletofspeed	Amulet of Speed	Item	No
amuletofspeedrare	Amulet of Speed	Item	Rare
amuletofthorns	Amulet of Thorns	Item	No
amuletofthornsrare	Amulet of Thorns	Item	Rare
ankhoflife	Ankh of Life	Item	No
ankhofliferare	Ankh of Life	Item	Rare
antiquefigurine	Antique Figurine	Item	No
antiquefigurinerare	Antique Figurine	Item	Rare
aquamarinebracelet	Aquamarine Bracelet	Item	No
aquamarinebraceletrare	Aquamarine Bracelet	Item	Rare
archmagebook	Archmage Book	Item	No
archmagebookrare	Archmage Book	Item	Rare
